hostname-cleaned,canonical-to-text,ga-total-views,techstack-status,techstack-opensource-platform,techstack-platform,techstack-frameworks
women.ca.gov,women.ca.gov,"11,818",200,yes,WordPress,
author.cdph.ca.gov,author.cdph.ca.gov,"11,669",none,error,undetermined,
parentage.dcss.ca.gov,parentage.dcss.ca.gov,"11,249",200,yes,WordPress,
strtp.ccld.dss.ca.gov,strtp.ccld.dss.ca.gov,"11,128",200,no,ASP.NET (proprietary/custom),
innovation.ca.gov,innovation.ca.gov,"10,242",200,unknown,undetermined,
intranet.calepa.ca.gov,intranet.calepa.ca.gov,"9,841",200,yes,WordPress,
pfwt.reducetherisk.ca.gov,pfwt.reducetherisk.ca.gov,"9,394",200,yes,WordPress,
uiosit4int.network1.corp.edd.ca.gov,uiosit4int.network1.corp.edd.ca.gov,"9,255",none,error,undetermined,
calsta.ca.gov,calsta.ca.gov,"9,164",200,no,Sitecore,Bootstrap; Google Analytics; Google Fonts; Modernizr; YouTube Embed; jQuery
bopc.ca.gov,bopc.ca.gov,"9,152",200,yes,WordPress,
offline.local,offline.local,"8,877",none,error,undetermined,
webstandards.ca.gov,webstandards.ca.gov,"8,717",200,yes,WordPress,
apps.wildlife.ca.gov,apps.wildlife.ca.gov,"8,604",200,unknown,undetermined,
latc.ca.gov,latc.ca.gov,"8,021",,,,
uiosit11int.network1.corp.edd.ca.gov,uiosit11int.network1.corp.edd.ca.gov,"7,944",,,,
biomonitoring.ca.gov,biomonitoring.ca.gov,"7,901",,,,
ports.parks.ca.gov,ports.parks.ca.gov,"7,719",,,,
calich.ca.gov,calich.ca.gov,"7,705",,,,
medassistportal.cdph.ca.gov,medassistportal.cdph.ca.gov,"7,570",,,,
meetings.ctc.ca.gov,meetings.ctc.ca.gov,"7,361",,,,
rrd.dor.ca.gov,rrd.dor.ca.gov,"7,135",,,,
domainnamerequest.cdt.ca.gov,domainnamerequest.cdt.ca.gov,"7,038",,,,
fosteryouthhelp.ca.gov,fosteryouthhelp.ca.gov,"6,900",,,,
grants.ctc.ca.gov,grants.ctc.ca.gov,"6,365",,,,
ccoa.ca.gov,ccoa.ca.gov,"6,348",,,,
eo.cdfa.ca.gov,eo.cdfa.ca.gov,"6,247",,,,
uiosit6int.network1.corp.edd.ca.gov,uiosit6int.network1.corp.edd.ca.gov,"6,224",,,,
authoring-temp.consrv.ca.gov,authoring-temp.consrv.ca.gov,"6,180",,,,
phaestmswebit04.cdphintra.ca.gov,phaestmswebit04.cdphintra.ca.gov,"6,157",,,,
youthempowerment.ca.gov,youthempowerment.ca.gov,"6,075",,,,
template.webstandards.ca.gov,template.webstandards.ca.gov,"5,997",,,,
calfreshhealthyliving.cdph.ca.gov,calfreshhealthyliving.cdph.ca.gov,"5,995",,,,
bcsa.ca.gov,bcsa.ca.gov,"5,669",,,,
cms.edd.ca.gov,cms.edd.ca.gov,"5,639",,,,
ctcvis-syt.org,ctcvis-syt.org,"5,373",,,,
oycr.ca.gov,oycr.ca.gov,"5,276",,,,
osg.ca.gov,osg.ca.gov,"5,235",,,,
ccop.dot.ca.gov,ccop.dot.ca.gov,"5,233",,,,
mpa.aging.ca.gov,mpa.aging.ca.gov,"4,871",,,,
wedrawthelines.ca.gov,wedrawthelines.ca.gov,"4,815",,,,
osar.bppe.ca.gov,osar.bppe.ca.gov,"4,812",,,,
naturopathic.ca.gov,naturopathic.ca.gov,"4,768",,,,
bes.dtsc.ca.gov,bes.dtsc.ca.gov,"4,342",,,,
uiost10int.network1.corp.edd.ca.gov,uiost10int.network1.corp.edd.ca.gov,"4,335",,,,
projectresources.cdt.ca.gov,projectresources.cdt.ca.gov,"4,292",,,,
pmbc.ca.gov,pmbc.ca.gov,"4,240",,,,
genai.ca.gov,genai.ca.gov,"4,225",,,,
author-dot.dot.ca.gov,author-dot.dot.ca.gov,"4,223",,,,
climateresilience.ca.gov,climateresilience.ca.gov,"4,092",,,,
test.edd.ca.gov,test.edd.ca.gov,"4,036",,,,
wildfirerecovery.caloes.ca.gov,wildfirerecovery.caloes.ca.gov,"4,028",,,,
bcsh.ca.gov,bcsh.ca.gov,"4,027",,,,
climateaction.ca.gov,climateaction.ca.gov,"4,019",,,,
wsi2st.dmv.ca.gov,wsi2st.dmv.ca.gov,"4,011",,,,
ig.dot.ca.gov,ig.dot.ca.gov,"3,911",,,,
celebrate.ca.gov,celebrate.ca.gov,"3,838",,,,
.waterboards.ca.gov,.waterboards.ca.gov,"3,805",,,,
dv-bhgs-new.int.dca.ca.gov,dv-bhgs-new.int.dca.ca.gov,"3,721",,,,
build.ca.gov,build.ca.gov,"3,625",,,,
ceden.waterboards.ca.gov,ceden.waterboards.ca.gov,"3,603",,,,
govops.ca.gov,govops.ca.gov,"3,579",,,,
cubsperfrf.network1.corp.edd.ca.gov,cubsperfrf.network1.corp.edd.ca.gov,"3,573",,,,
ssc.ca.gov,ssc.ca.gov,"3,460",,,,
militarycouncil.ca.gov,militarycouncil.ca.gov,"3,286",,,,
uiost14int.network1.corp.edd.ca.gov,uiost14int.network1.corp.edd.ca.gov,"2,929",,,,
cal-atsd.dor.ca.gov,cal-atsd.dor.ca.gov,"2,851",,,,
mentalhealth.ca.gov,mentalhealth.ca.gov,"2,840",,,,
beta.calcareers.ca.gov,beta.calcareers.ca.gov,"2,827",,,,
uiosit11ext.network1.corp.edd.ca.gov,uiosit11ext.network1.corp.edd.ca.gov,"2,642",,,,
accountability.ca.gov,accountability.ca.gov,"2,567",,,,
digitalidstrategy.cdt.ca.gov,digitalidstrategy.cdt.ca.gov,"2,551",,,,
calrx.ca.gov,calrx.ca.gov,"2,546",,,,
tribalaffairs.ca.gov,tribalaffairs.ca.gov,"2,545",,,,
cfda.lci.ca.gov,cfda.lci.ca.gov,"2,506",,,,
cleancalifornia.dot.ca.gov,cleancalifornia.dot.ca.gov,"2,496",,,,
census.ca.gov,census.ca.gov,"2,456",,,,
ecotox.oehha.ca.gov,ecotox.oehha.ca.gov,"2,359",,,,
eaap.ca.gov,eaap.ca.gov,"2,238",,,,
hub.innovation.ca.gov,hub.innovation.ca.gov,"2,194",,,,
wsi2uat.dmv.ca.gov,wsi2uat.dmv.ca.gov,"2,168",,,,
uat.calcareers.ca.gov,uat.calcareers.ca.gov,"2,159",,,,
abcab.ca.gov,abcab.ca.gov,"2,115",,,,
preview-catc.catc.ca.gov,preview-catc.catc.ca.gov,"2,103",,,,
prod.sites.ca.gov,prod.sites.ca.gov,"1,964",,,,
uiost13int.network1.corp.edd.ca.gov,uiost13int.network1.corp.edd.ca.gov,"1,956",,,,
engaged.ca.gov,engaged.ca.gov,"1,837",,,,
shsp.dot.ca.gov,shsp.dot.ca.gov,"1,686",,,,
uiost19ext.network1.corp.edd.ca.gov,uiost19ext.network1.corp.edd.ca.gov,"1,644",,,,
ca-gov.translate.goog,ca-gov.translate.goog,"1,630",,,,
caweb.cdt.ca.gov,caweb.cdt.ca.gov,"1,625",,,,
dv-dca.dca.ca.gov,dv-dca.dca.ca.gov,"1,594",,,,
prod591stg.wpenginepowered.com,prod591stg.wpenginepowered.com,"1,579",,,,
dev.sites.ca.gov,dev.sites.ca.gov,"1,546",,,,
cdev.sites.ca.gov,cdev.sites.ca.gov,"1,545",,,,
wsi2dev.dmv.ca.gov,wsi2dev.dmv.ca.gov,"1,524",,,,
facilitycplan-b2gfgmaff8ezcne8.westus2-01.azurewebsites.net,facilitycplan-b2gfgmaff8ezcne8.westus2-01.azurewebsites.net,"1,407",,,,
oshpd.ca.gov,oshpd.ca.gov,"1,393",,,,
careereducation.gov.ca.gov,careereducation.gov.ca.gov,"1,344",,,,
liob.cpuc.ca.gov,liob.cpuc.ca.gov,"1,326",,,,
ccap.ca.gov,ccap.ca.gov,"1,295",,,,
uiosit13ext.network1.corp.edd.ca.gov,uiosit13ext.network1.corp.edd.ca.gov,"1,278",,,,
train.calcareers.ca.gov,train.calcareers.ca.gov,"1,270",,,,
dv-speechandhearing-new.int.dca.ca.gov,dv-speechandhearing-new.int.dca.ca.gov,"1,260",,,,
d06webd.dot.ca.gov,d06webd.dot.ca.gov,"1,132",,,,
code.ca.gov,code.ca.gov,"1,132",,,,
preview-calsta.calsta.ca.gov,preview-calsta.calsta.ca.gov,"1,107",,,,
calpest-poc.powerappsportals.us,calpest-poc.powerappsportals.us,"1,088",,,,
wpgovernors.library.ca.gov,wpgovernors.library.ca.gov,"1,083",,,,
stage.ftb.ca.gov,stage.ftb.ca.gov,"1,024",,,,
victims.prod.sites.ca.gov,victims.prod.sites.ca.gov,"1,022",,,,
authoring.consrv.ca.gov,authoring.consrv.ca.gov,"1,019",,,,
cscpsearch.cdph.ca.gov,cscpsearch.cdph.ca.gov,"1,011",,,,
handbook.data.ca.gov,handbook.data.ca.gov,993,,,,
calsilc.ca.gov,calsilc.ca.gov,984,,,,
ceic.ca.gov,ceic.ca.gov,976,,,,
siu.insurance.ca.gov,siu.insurance.ca.gov,934,,,,
dof-dev.esd.p.azurewebsites.net,dof-dev.esd.p.azurewebsites.net,866,,,,
cei.post.ca.gov,cei.post.ca.gov,863,,,,
es.dor.ca.gov,es.dor.ca.gov,857,,,,
ca-dmv.preprod.simpligov.com,ca-dmv.preprod.simpligov.com,855,,,,
waterchallenge.data.ca.gov,waterchallenge.data.ca.gov,842,,,,
stage-medassist.cdph.ca.gov,stage-medassist.cdph.ca.gov,841,,,,
archive,archive,823,,,,
test.boe.ca.gov,test.boe.ca.gov,822,,,,
serve.ca.gov,serve.ca.gov,802,,,,
capmf.cdt.ca.gov,capmf.cdt.ca.gov,791,,,,
envision2026.cdt.ca.gov,envision2026.cdt.ca.gov,772,,,,
test2.edd.ca.gov,test2.edd.ca.gov,768,,,,
zh-cn.dor.ca.gov,zh-cn.dor.ca.gov,765,,,,
designsystem.ca.gov,designsystem.ca.gov,761,,,,
cslstaging.library.ca.gov,cslstaging.library.ca.gov,736,,,,
testweb.coastal.ca.gov,testweb.coastal.ca.gov,728,,,,
admin-dev.alert.cdt.ca.gov,admin-dev.alert.cdt.ca.gov,715,,,,
stopfraud.ca.gov,stopfraud.ca.gov,707,,,,
pfwt.caloes.ca.gov,pfwt.caloes.ca.gov,677,,,,
saferatwork.labor.ca.gov,saferatwork.labor.ca.gov,673,,,,
uiosit14ext.network1.corp.edd.ca.gov,uiosit14ext.network1.corp.edd.ca.gov,673,,,,
archive.gov.ca.gov,archive.gov.ca.gov,673,,,,
preview-ig.dot.ca.gov,preview-ig.dot.ca.gov,647,,,,
spwb.ca.gov,spwb.ca.gov,636,,,,
uiosit14int.network1.corp.edd.ca.gov,uiosit14int.network1.corp.edd.ca.gov,620,,,,
solid.dca.ca.gov,solid.dca.ca.gov,609,,,,
pfwt.news.caloes.ca.gov,pfwt.news.caloes.ca.gov,601,,,,
cchcs.cdev.sites.ca.gov,cchcs.cdev.sites.ca.gov,598,,,,
results.ca.gov,results.ca.gov,588,,,,
portal.dmv.ca.gov.s3-website-us-west-1.amazonaws.com,portal.dmv.ca.gov.s3-website-us-west-1.amazonaws.com,552,,,,
pfwt.earthquake.ca.gov,pfwt.earthquake.ca.gov,550,,,,
testcms.edd.ca.gov,testcms.edd.ca.gov,530,,,,
dv-bcsa.int.dca.ca.gov,dv-bcsa.int.dca.ca.gov,521,,,,
boe-aws-dev,boe-aws-dev,514,,,,
tfdd,tfdd,502,,,,
ctcvis-sbx.org,ctcvis-sbx.org,501,,,,
calvetid.calvet.ca.gov,calvetid.calvet.ca.gov,498,,,,
sv04gisportal.ct.dot.ca.gov,sv04gisportal.ct.dot.ca.gov,491,,,,
bondaccountability.ca.gov,bondaccountability.ca.gov,471,,,,
boe-aws-dev.boe.ca.gov,boe-aws-dev.boe.ca.gov,469,,,,
teamsite,teamsite,442,,,,
wsi2it.dmv.ca.gov,wsi2it.dmv.ca.gov,431,,,,
dmv-ca-gov.translate.goog,dmv-ca-gov.translate.goog,431,,,,
pfwt.wildfirerecovery.caloes.ca.gov,pfwt.wildfirerecovery.caloes.ca.gov,430,,,,
